question,expected_answer,naive_response,naive_score,agentic_response,agentic_score
"What is the default checkpoint used by the sentiment analysis pipeline in the Transformers library?
",distilbert base uncased finetuned sst2 english,distilbert base uncased finetuned sst2 english,pass,Beautiful Soup (bs4).,pass
"What is the dimension of the feature vector for the base BERT model?
",768,768,pass,./run.sh --stage 15 --skip_upload_hf false --hf_repo username/model_repo,pass
"What is the goal of the Named Entity Recognition task in token classification?
","The goal of the Named Entity Recognition task is to find the entities in a piece of text, such as person, location, or organization.","To find named entities in text (such as person, location, or organization) by labeling each token with the appropriate entity class, plus a ""no entity"" class for non-entity tokens.",pass,It shows how to use DeepSpeed to pre-train and fine-tune a 1.6B-parameter GPT-2 XL model for causal language modeling on Habana Gaudi.,pass
"What is the name of the large multimodal model that can solve image-text tasks and is based on Flamingo?
",IDEFICS,IDEFICS,pass,SOC 2 Type 2 certified.,pass
"What is the purpose of the /healthcheck endpoint in the Datasets server API?
",Ensure the app is running,To verify the Datasets server is running and responsive (a liveness/health check).,pass,"A dynamic code test that reproduces the bug and fails before the fix and passes after the fix (i.e., a regression-style test). It could also be a linting rule or another type if appropriate.",pass
"How can a user claim authorship of a paper on the Hugging Face Hub?
","By clicking their name on the corresponding Paper page and clicking ""claim authorship"", then confirming the request in paper settings for admin team validation.","The provided documents do not describe any method to claim authorship of a paper on the Hugging Face Hub. They cover sharing datasets/models, DOIs for datasets, organizations, gated access, and getting help, but nothing about authorship claims.",fail,Skops,pass
"What is the resolution of images used by the CLIPSeg model?
",352 x 352 pixels,224x224 pixels.,fail,ByT5: Towards a token-free future with pre-trained byte-to-byte models,pass
"What is the purpose of Weights and Biases (W&B) for data scientists and machine learning scientists?
","To track their machine learning experiments at every stage, from training to production.","To track ML experiments across their lifecycle—from training to production—by aggregating metrics across samples and displaying them in customizable, searchable dashboards.",pass,"In the Hugging Face Endpoints UI, open your Endpoint and go to the Logs tab. There you can view:
- Build Logs (for image artifact builds)
- Container Logs (during inference; available only when the Endpoint is Running)

If the Endpoint is in a Failed state, check the Build Logs to see the reason.",pass
"What is the purpose of Diffusers library?
",To serve as a modular toolbox for both inference and training of state-of-the-art pretrained diffusion models across multiple modalities.,"To provide tooling for training diffusion models and to offer simple, educational example scripts that illustrate known training schemes (not aim for state-of-the-art models).",fail,`pip install -r requirements.txt`,pass
"What is the purpose of the `gradio.Blocks` API?
","The `gradio.Blocks` API allows you to have full control over the data flows and layout of your application, enabling the building of complex, multi-step applications.",Not specified in the provided documents.,fail,"Inference Endpoints. 

(Hugging Face is sunsetting the Paid tier of the Inference API and directing users to Inference Endpoints for enterprise-grade needs.)",pass
"What is the purpose of Fully Sharded Data Parallel (FSDP) in distributed training?
","FSDP is developed for distributed training of large pretrained models up to 1T parameters by sharding the model parameters, gradients, and optimizer states across data parallel processes.","FSDP is used to enable scalable, memory-efficient distributed training of very large models by fully sharding the model parameters (and related states) across multiple GPUs, allowing training/fine-tuning of billions-parameter models that wouldn’t fit on a single device.",pass,Group convolutions.,pass
"What is the file size limit for syncing to HF Spaces without using Git-LFS?
",10MB,"10 MB (10,485,760 bytes).",pass,"The pretraining objective is a contrastive task: the model must predict the true quantized speech representation of the masked prediction from a set of negative (false) examples, encouraging it to identify the most similar context vector and the target quantized speech unit.",pass
"What is the purpose of Textual Inversion?
",Textual Inversion is a training method for personalizing models by learning new text embeddings from a few example images.,To personalize a Stable Diffusion model by teaching it a new concept from your own images (3–5 samples) and then share that concept with the community.,pass,"- Factorized embedding parameterization: factor the input embedding matrix (V × H) into V × E and E × H, with E ≪ H, to reduce embedding parameters.

- Cross-layer parameter sharing: reuse the same transformer layer parameters across all layers, drastically cutting the total parameter count.",pass
"What is the purpose of the Safety Checker in the Diffusers library?
",The Safety Checker checks and compares the class probability of a set of hard-coded harmful concepts in the embedding space against an image after it has been generated to mitigate the risk of generating harmful content.,"It is part of the Diffusers’ safety features/mechanisms, intended to mitigate ethical and social risks of diffusion technology by checking and handling potentially unsafe outputs (with input from the community guiding its implementation).",fail,10 GB. Checkpoints larger than 10 GB are automatically sharded; you can adjust the threshold with the max_shard_size parameter.,pass
"What is the purpose of the two-stage model proposed in the paper ""Hierarchical Text-Conditional Image Generation with CLIP Latents""?
",The purpose of the two-stage model is to generate a CLIP image embedding given a text caption and then generate an image conditioned on the image embedding.,"To map text to image representations by predicting CLIP image embeddings from CLIP text embeddings (a Prior stage), so the diffusion model can generate images conditioned on text via CLIP latents.",pass,"It decomposes text-to-image generation into two steps: a Prior Transformer that predicts CLIP image embeddings from CLIP text embeddings, followed by a diffusion model that decodes those embeddings into an image. In short, text → CLIP image embedding → image via diffusion.",pass
"What is the latest task added to Hugging Face AutoTrain for Computer Vision?
",Image Classification,Image Classification.,pass,"- 🤗 Diffusers is the go-to library for state-of-the-art pretrained diffusion models for generating images, audio, and even 3D structures of molecules.
- It’s a modular toolbox that supports both simple inference and training your own diffusion models.
- The library emphasizes usability over performance, simplicity over easy, and customizability over abstractions.
- It has three core components.",pass
"What is the purpose of the BLIP-Diffusion model?
",The BLIP-Diffusion model is designed for controllable text-to-image generation and editing.,Not specified in the provided documents.,fail,"Safetensors format (.safetensors). It’s a non-executable, safe-to-load format used for PyTorch/transformers weights, considered more secure than .bin/.pt files.",pass
ase," d""","The provided documents do not mention or define ""ase.""",fail,"from_pretrained

Example: AutoPipelineForText2Image.from_pretrained(...)",pass
"What method does the EulerAncestralDiscreteScheduler use for sampling?
",Ancestral sampling with Euler method steps.,Ancestral sampling (with Euler method steps).,pass,Up to 800% higher throughput.,pass
"Where can the full code for the Stable Diffusion demo be found?
",https://hf.co/spaces/stabilityai/stable-diffusion/tree/main,https://hf.co/spaces/stabilityai/stable-diffusion/tree/main,pass,3-5 images (3 to 5 samples).,pass
"What is the maximum improvement in throughput achieved by Hugging Face Infinity compared to vanilla transformers?
",800%,800% higher throughput.,pass,"The ""##"" prefix (two hash symbols) indicates continuing subwords in WordPiece.",pass
"What type of security certification does Hugging Face have?
",SOC2 Type 2 certified,SOC 2 Type 2 certification.,pass,pip install --upgrade-strategy eager optimum[openvino],pass
"What command line module does PyTorch provide to run a script on multiple GPUs?
",torchrun,torchrun,pass,"- FSDP shards a model’s parameters, gradients, and optimizer states across GPUs, instead of replicating the full model on each device.
- This reduces per-GPU memory usage, improving memory efficiency and enabling training of much larger models on fewer GPUs. It’s integrated with Accelerate and usable from Trainer.",pass
"What file format is used to save and store PyTorch model weights more securely than `.bin` files?
",`.safetensors`,safetensors format (.safetensors).,pass,Ancestral sampling with Euler method steps.,pass
"What task does the `roberta-large-mnli` checkpoint perform?
",Text classification,Natural language inference (NLI) — determining entailment/contradiction/neutral between sentence pairs.,fail,Optimum,pass
"What architecture is the `tokenizers-linux-x64-musl` binary designed for?
",x86_64-unknown-linux-musl,x86_64-unknown-linux-musl,pass,352 × 352 pixels.,pass
"What parameter is used to ensure that elements in a row have the same height in Gradio?
",equal_height,Not mentioned in the provided documents.,fail,HfApi class.,pass
"What are the three main steps for fine-tuning a model with the 🤗 Datasets library?
",1. Load a dataset from the Hugging Face Hub. 2. Preprocess the data with `Dataset.map()`. 3. Load and compute metrics.,"- Load a dataset from the Hugging Face Hub.
- Preprocess the data with Dataset.map().
- Load and compute metrics.",pass,Multiples of 64.,fail
"What can you use Gradio for?
","Create a demo for your machine learning model, share your machine learning model with others, and debug your model.",The provided documents do not specify what you can use Gradio to do.,fail,"Weights & Biases (W&B) helps data scientists and ML scientists track their machine learning experiments from training to production. It aggregates metrics across samples and presents them in customizable, searchable dashboards to monitor, compare, and reproduce experiments.",pass
"What is the command to install the latest version of Optimum with OpenVINO support?
","pip install --upgrade-strategy eager optimum[""openvino""]",pip install optimum[openvino],fail,The Safety Checker is used to check generated outputs against known hardcoded NSFW content (to filter/flag unsafe content). It can be disabled by passing safety_checker=None when creating the pipeline.,pass
"What Python class allows you to retrieve Discussions and Pull Requests from a given repository on the Hugging Face Hub?
",HfApi,HfApi.,pass,On Hugging Face Spaces: https://hf.co/spaces/stabilityai/stable-diffusion/tree/main,pass
"What is the most popular vision transformer model on the Hugging Face Model Hub for image classification?
",google/vit-base-patch16-224,google/vit-base-patch16-224,pass,"Textual Inversion lets you personalize a Stable Diffusion model on your own images with just 3–5 samples, by training the model on a concept and then sharing that learned concept (as a token) for use in prompts.",pass
"What are the two parameter-reduction techniques proposed in the ALBERT model to lower memory consumption and increase training speed?
",Splitting the embedding matrix into two smaller matrices and using repeating layers split among groups.,"- Factorized embedding parameterization: splitting the embedding matrix into two smaller matrices.
- Cross-layer parameter sharing (repeating layers): reusing the same layers across the model (layers split among groups).",pass,google/vit-base-patch16-224,pass
"What is the purpose of tokenizers in the NLP pipeline?
",To translate text into data that can be processed by the model.,To train a tokenizer on a text corpus so it can be used to pretrain a language model.,fail,"The Gradio Blocks API is a higher-level way to build complex, multi-component apps. It provides a Blocks container (often used with a context manager) to compose components, arrange them with layouts (Rows, Columns, Tabs, etc.), and wire interactivity and state between components—enabling richer, multi-input apps beyond a single-function Interface. You can also reuse Interface-style shortcuts inside Blocks.",pass
"What service is replacing the Paid tier of the Inference API at Hugging Face?
",Inference Endpoints,Inference Endpoints.,pass,"The module is torch.distributed.run. Use it as:
python -m torch.distributed.run --nproc_per_node <num_gpus> --nnodes 1 your_script.py",fail
